Year	Species	Source	lib_count
2008	Homo sapien	transcriptomic	21
2008	Homo sapien	genomic	676
2008	Mus musculus	transcriptomic	3
2008	Mus musculus	genomic	54
2008	Rattus norvegicus	transcriptomic	0
2008	Rattus norvegicus	genomic	0
2009	Homo sapien	transcriptomic	181
2009	Homo sapien	genomic	1831
2009	Mus musculus	transcriptomic	52
2009	Mus musculus	genomic	155
2009	Rattus norvegicus	transcriptomic	0
2009	Rattus norvegicus	genomic	0
2010	Homo sapien	transcriptomic	694
2010	Homo sapien	genomic	6058
2010	Mus musculus	transcriptomic	281
2010	Mus musculus	genomic	1073
2010	Rattus norvegicus	transcriptomic	45
2010	Rattus norvegicus	genomic	49
2011	Homo sapien	transcriptomic	1605
2011	Homo sapien	genomic	11792
2011	Mus musculus	transcriptomic	801
2011	Mus musculus	genomic	2110
2011	Rattus norvegicus	transcriptomic	10
2011	Rattus norvegicus	genomic	8
2012	Homo sapien	transcriptomic	4110
2012	Homo sapien	genomic	23897
2012	Mus musculus	transcriptomic	1293
2012	Mus musculus	genomic	6625
2012	Rattus norvegicus	transcriptomic	114
2012	Rattus norvegicus	genomic	300
2013	Homo sapien	transcriptomic	5693
2013	Homo sapien	genomic	49118
2013	Mus musculus	transcriptomic	4263
2013	Mus musculus	genomic	6234
2013	Rattus norvegicus	transcriptomic	212
2013	Rattus norvegicus	genomic	362
2014	Homo sapien	transcriptomic	23789
2014	Homo sapien	genomic	61668
2014	Mus musculus	transcriptomic	20783
2014	Mus musculus	genomic	9199
2014	Rattus norvegicus	transcriptomic	3140
2014	Rattus norvegicus	genomic	386
2015	Homo sapien	transcriptomic	31934
2015	Homo sapien	genomic	127084
2015	Mus musculus	transcriptomic	42549
2015	Mus musculus	genomic	23498
2015	Rattus norvegicus	transcriptomic	1420
2015	Rattus norvegicus	genomic	263
2016	Homo sapien	transcriptomic	75881
2016	Homo sapien	genomic	233628
2016	Mus musculus	transcriptomic	73922
2016	Mus musculus	genomic	18735
2016	Rattus norvegicus	transcriptomic	1603
2016	Rattus norvegicus	genomic	1068
2017	Homo sapien	transcriptomic	95561
2017	Homo sapien	genomic	110980
2017	Mus musculus	transcriptomic	103505
2017	Mus musculus	genomic	27604
2017	Rattus norvegicus	transcriptomic	2348
2017	Rattus norvegicus	genomic	900
2018	Homo sapien	transcriptomic	215721
2018	Homo sapien	genomic	178705
2018	Mus musculus	transcriptomic	131987
2018	Mus musculus	genomic	39427
2018	Rattus norvegicus	transcriptomic	2426
2018	Rattus norvegicus	genomic	1540
2019	Homo sapien	transcriptomic	191919
2019	Homo sapien	genomic	233954
2019	Mus musculus	transcriptomic	180264
2019	Mus musculus	genomic	52811
2019	Rattus norvegicus	transcriptomic	4347
2019	Rattus norvegicus	genomic	1215
2020	Homo sapien	transcriptomic	213953
2020	Homo sapien	genomic	234482
2020	Mus musculus	transcriptomic	167214
2020	Mus musculus	genomic	221952
2020	Rattus norvegicus	transcriptomic	9218
2020	Rattus norvegicus	genomic	17298
2021	Homo sapien	transcriptomic	263611
2021	Homo sapien	genomic	253217
2021	Mus musculus	transcriptomic	164630
2021	Mus musculus	genomic	58442
2021	Rattus norvegicus	transcriptomic	8446
2021	Rattus norvegicus	genomic	2244
2022	Homo sapien	transcriptomic	275158
2022	Homo sapien	genomic	277456
2022	Mus musculus	transcriptomic	159760
2022	Mus musculus	genomic	50904
2022	Rattus norvegicus	transcriptomic	10897
2022	Rattus norvegicus	genomic	5970
2023	Homo sapien	transcriptomic	226698
2023	Homo sapien	genomic	905475
2023	Mus musculus	transcriptomic	147559
2023	Mus musculus	genomic	320431
2023	Rattus norvegicus	transcriptomic	11364
2023	Rattus norvegicus	genomic	17632
