Year	Count	DataSetType	Type
2000	0	expression profiling by array	microarray
2001	2	expression profiling by array	microarray
2002	40	expression profiling by array	microarray
2003	258	expression profiling by array	microarray
2004	401	expression profiling by array	microarray
2005	576	expression profiling by array	microarray
2006	740	expression profiling by array	microarray
2007	885	expression profiling by array	microarray
2008	1062	expression profiling by array	microarray
2009	1271	expression profiling by array	microarray
2010	1563	expression profiling by array	microarray
2011	2075	expression profiling by array	microarray
2012	2182	expression profiling by array	microarray
2013	2331	expression profiling by array	microarray
2014	2388	expression profiling by array	microarray
2015	2510	expression profiling by array	microarray
2016	2176	expression profiling by array	microarray
2017	2063	expression profiling by array	microarray
2018	1802	expression profiling by array	microarray
2019	1548	expression profiling by array	microarray
2020	1407	expression profiling by array	microarray
2021	1210	expression profiling by array	microarray
2022	938	expression profiling by array	microarray
2023	697	expression profiling by array	microarray
2000	0	expression profiling by genome tiling array	microarray
2001	0	expression profiling by genome tiling array	microarray
2002	0	expression profiling by genome tiling array	microarray
2003	0	expression profiling by genome tiling array	microarray
2004	1	expression profiling by genome tiling array	microarray
2005	9	expression profiling by genome tiling array	microarray
2006	1	expression profiling by genome tiling array	microarray
2007	8	expression profiling by genome tiling array	microarray
2008	16	expression profiling by genome tiling array	microarray
2009	5	expression profiling by genome tiling array	microarray
2010	5	expression profiling by genome tiling array	microarray
2011	5	expression profiling by genome tiling array	microarray
2012	15	expression profiling by genome tiling array	microarray
2013	14	expression profiling by genome tiling array	microarray
2014	18	expression profiling by genome tiling array	microarray
2015	2	expression profiling by genome tiling array	microarray
2016	20	expression profiling by genome tiling array	microarray
2017	0	expression profiling by genome tiling array	microarray
2018	1	expression profiling by genome tiling array	microarray
2019	1	expression profiling by genome tiling array	microarray
2020	4	expression profiling by genome tiling array	microarray
2021	0	expression profiling by genome tiling array	microarray
2022	2	expression profiling by genome tiling array	microarray
2023	0	expression profiling by genome tiling array	microarray
2000	0	expression profiling by snp array	microarray
2001	0	expression profiling by snp array	microarray
2002	0	expression profiling by snp array	microarray
2003	0	expression profiling by snp array	microarray
2004	0	expression profiling by snp array	microarray
2005	0	expression profiling by snp array	microarray
2006	0	expression profiling by snp array	microarray
2007	0	expression profiling by snp array	microarray
2008	2	expression profiling by snp array	microarray
2009	0	expression profiling by snp array	microarray
2010	0	expression profiling by snp array	microarray
2011	0	expression profiling by snp array	microarray
2012	3	expression profiling by snp array	microarray
2013	0	expression profiling by snp array	microarray
2014	1	expression profiling by snp array	microarray
2015	0	expression profiling by snp array	microarray
2016	0	expression profiling by snp array	microarray
2017	1	expression profiling by snp array	microarray
2018	0	expression profiling by snp array	microarray
2019	0	expression profiling by snp array	microarray
2020	0	expression profiling by snp array	microarray
2021	0	expression profiling by snp array	microarray
2022	0	expression profiling by snp array	microarray
2023	0	expression profiling by snp array	microarray
2000	0	genome binding/occupancy profiling by array	microarray
2001	0	genome binding/occupancy profiling by array	microarray
2002	0	genome binding/occupancy profiling by array	microarray
2003	0	genome binding/occupancy profiling by array	microarray
2004	0	genome binding/occupancy profiling by array	microarray
2005	1	genome binding/occupancy profiling by array	microarray
2006	0	genome binding/occupancy profiling by array	microarray
2007	1	genome binding/occupancy profiling by array	microarray
2008	0	genome binding/occupancy profiling by array	microarray
2009	8	genome binding/occupancy profiling by array	microarray
2010	7	genome binding/occupancy profiling by array	microarray
2011	4	genome binding/occupancy profiling by array	microarray
2012	2	genome binding/occupancy profiling by array	microarray
2013	4	genome binding/occupancy profiling by array	microarray
2014	3	genome binding/occupancy profiling by array	microarray
2015	5	genome binding/occupancy profiling by array	microarray
2016	1	genome binding/occupancy profiling by array	microarray
2017	0	genome binding/occupancy profiling by array	microarray
2018	7	genome binding/occupancy profiling by array	microarray
2019	2	genome binding/occupancy profiling by array	microarray
2020	0	genome binding/occupancy profiling by array	microarray
2021	1	genome binding/occupancy profiling by array	microarray
2022	0	genome binding/occupancy profiling by array	microarray
2023	2	genome binding/occupancy profiling by array	microarray
2000	0	genome binding/occupancy profiling by genome tiling array	microarray
2001	0	genome binding/occupancy profiling by genome tiling array	microarray
2002	0	genome binding/occupancy profiling by genome tiling array	microarray
2003	0	genome binding/occupancy profiling by genome tiling array	microarray
2004	3	genome binding/occupancy profiling by genome tiling array	microarray
2005	26	genome binding/occupancy profiling by genome tiling array	microarray
2006	27	genome binding/occupancy profiling by genome tiling array	microarray
2007	51	genome binding/occupancy profiling by genome tiling array	microarray
2008	47	genome binding/occupancy profiling by genome tiling array	microarray
2009	48	genome binding/occupancy profiling by genome tiling array	microarray
2010	46	genome binding/occupancy profiling by genome tiling array	microarray
2011	62	genome binding/occupancy profiling by genome tiling array	microarray
2012	48	genome binding/occupancy profiling by genome tiling array	microarray
2013	62	genome binding/occupancy profiling by genome tiling array	microarray
2014	25	genome binding/occupancy profiling by genome tiling array	microarray
2015	20	genome binding/occupancy profiling by genome tiling array	microarray
2016	14	genome binding/occupancy profiling by genome tiling array	microarray
2017	14	genome binding/occupancy profiling by genome tiling array	microarray
2018	6	genome binding/occupancy profiling by genome tiling array	microarray
2019	6	genome binding/occupancy profiling by genome tiling array	microarray
2020	2	genome binding/occupancy profiling by genome tiling array	microarray
2021	2	genome binding/occupancy profiling by genome tiling array	microarray
2022	5	genome binding/occupancy profiling by genome tiling array	microarray
2023	1	genome binding/occupancy profiling by genome tiling array	microarray
2000	0	genome binding/occupancy profiling by snp array	microarray
2001	0	genome binding/occupancy profiling by snp array	microarray
2002	0	genome binding/occupancy profiling by snp array	microarray
2003	0	genome binding/occupancy profiling by snp array	microarray
2004	0	genome binding/occupancy profiling by snp array	microarray
2005	0	genome binding/occupancy profiling by snp array	microarray
2006	2	genome binding/occupancy profiling by snp array	microarray
2007	0	genome binding/occupancy profiling by snp array	microarray
2008	0	genome binding/occupancy profiling by snp array	microarray
2009	1	genome binding/occupancy profiling by snp array	microarray
2010	5	genome binding/occupancy profiling by snp array	microarray
2011	0	genome binding/occupancy profiling by snp array	microarray
2012	0	genome binding/occupancy profiling by snp array	microarray
2013	2	genome binding/occupancy profiling by snp array	microarray
2014	1	genome binding/occupancy profiling by snp array	microarray
2015	1	genome binding/occupancy profiling by snp array	microarray
2016	2	genome binding/occupancy profiling by snp array	microarray
2017	1	genome binding/occupancy profiling by snp array	microarray
2018	0	genome binding/occupancy profiling by snp array	microarray
2019	0	genome binding/occupancy profiling by snp array	microarray
2020	1	genome binding/occupancy profiling by snp array	microarray
2021	0	genome binding/occupancy profiling by snp array	microarray
2022	0	genome binding/occupancy profiling by snp array	microarray
2023	5	genome binding/occupancy profiling by snp array	microarray
2000	0	genome variation profiling by array	microarray
