Year	Count	DataSetType	Type
2000	0	expression profiling by array	microarray
2001	0	expression profiling by array	microarray
2002	0	expression profiling by array	microarray
2003	0	expression profiling by array	microarray
2004	3	expression profiling by array	microarray
2005	8	expression profiling by array	microarray
2006	12	expression profiling by array	microarray
2007	29	expression profiling by array	microarray
2008	23	expression profiling by array	microarray
2009	37	expression profiling by array	microarray
2010	46	expression profiling by array	microarray
2011	57	expression profiling by array	microarray
2012	81	expression profiling by array	microarray
2013	53	expression profiling by array	microarray
2014	48	expression profiling by array	microarray
2015	38	expression profiling by array	microarray
2016	41	expression profiling by array	microarray
2017	43	expression profiling by array	microarray
2018	18	expression profiling by array	microarray
2019	28	expression profiling by array	microarray
2020	14	expression profiling by array	microarray
2021	15	expression profiling by array	microarray
2022	9	expression profiling by array	microarray
2023	4	expression profiling by array	microarray
2000	0	expression profiling by genome tiling array	microarray
2001	0	expression profiling by genome tiling array	microarray
2002	0	expression profiling by genome tiling array	microarray
2003	0	expression profiling by genome tiling array	microarray
2004	0	expression profiling by genome tiling array	microarray
2005	2	expression profiling by genome tiling array	microarray
2006	0	expression profiling by genome tiling array	microarray
2007	3	expression profiling by genome tiling array	microarray
2008	0	expression profiling by genome tiling array	microarray
2009	1	expression profiling by genome tiling array	microarray
2010	0	expression profiling by genome tiling array	microarray
2011	3	expression profiling by genome tiling array	microarray
2012	4	expression profiling by genome tiling array	microarray
2013	0	expression profiling by genome tiling array	microarray
2014	1	expression profiling by genome tiling array	microarray
2015	0	expression profiling by genome tiling array	microarray
2016	1	expression profiling by genome tiling array	microarray
2017	0	expression profiling by genome tiling array	microarray
2018	2	expression profiling by genome tiling array	microarray
2019	0	expression profiling by genome tiling array	microarray
2020	0	expression profiling by genome tiling array	microarray
2021	0	expression profiling by genome tiling array	microarray
2022	1	expression profiling by genome tiling array	microarray
2023	0	expression profiling by genome tiling array	microarray
2000	0	expression profiling by snp array	microarray
2001	0	expression profiling by snp array	microarray
2002	0	expression profiling by snp array	microarray
2003	0	expression profiling by snp array	microarray
2004	0	expression profiling by snp array	microarray
2005	0	expression profiling by snp array	microarray
2006	0	expression profiling by snp array	microarray
2007	0	expression profiling by snp array	microarray
2008	0	expression profiling by snp array	microarray
2009	0	expression profiling by snp array	microarray
2010	1	expression profiling by snp array	microarray
2011	0	expression profiling by snp array	microarray
2012	0	expression profiling by snp array	microarray
2013	0	expression profiling by snp array	microarray
2014	0	expression profiling by snp array	microarray
2015	0	expression profiling by snp array	microarray
2016	0	expression profiling by snp array	microarray
2017	0	expression profiling by snp array	microarray
2018	0	expression profiling by snp array	microarray
2019	0	expression profiling by snp array	microarray
2020	0	expression profiling by snp array	microarray
2021	0	expression profiling by snp array	microarray
2022	0	expression profiling by snp array	microarray
2023	0	expression profiling by snp array	microarray
2000	0	genome binding/occupancy profiling by array	microarray
2001	0	genome binding/occupancy profiling by array	microarray
2002	0	genome binding/occupancy profiling by array	microarray
2003	0	genome binding/occupancy profiling by array	microarray
2004	0	genome binding/occupancy profiling by array	microarray
2005	0	genome binding/occupancy profiling by array	microarray
2006	0	genome binding/occupancy profiling by array	microarray
2007	0	genome binding/occupancy profiling by array	microarray
2008	0	genome binding/occupancy profiling by array	microarray
2009	0	genome binding/occupancy profiling by array	microarray
2010	0	genome binding/occupancy profiling by array	microarray
2011	0	genome binding/occupancy profiling by array	microarray
2012	0	genome binding/occupancy profiling by array	microarray
2013	0	genome binding/occupancy profiling by array	microarray
2014	0	genome binding/occupancy profiling by array	microarray
2015	0	genome binding/occupancy profiling by array	microarray
2016	0	genome binding/occupancy profiling by array	microarray
2017	0	genome binding/occupancy profiling by array	microarray
2018	0	genome binding/occupancy profiling by array	microarray
