Year	Count	DataSetType	Type
2000	0	expression profiling by array	microarray
2001	0	expression profiling by array	microarray
2002	0	expression profiling by array	microarray
2003	3	expression profiling by array	microarray
2004	1	expression profiling by array	microarray
2005	6	expression profiling by array	microarray
2006	7	expression profiling by array	microarray
2007	16	expression profiling by array	microarray
2008	31	expression profiling by array	microarray
2009	17	expression profiling by array	microarray
2010	21	expression profiling by array	microarray
2011	26	expression profiling by array	microarray
2012	13	expression profiling by array	microarray
2013	16	expression profiling by array	microarray
2014	9	expression profiling by array	microarray
2015	10	expression profiling by array	microarray
2016	14	expression profiling by array	microarray
2017	8	expression profiling by array	microarray
2018	3	expression profiling by array	microarray
2019	0	expression profiling by array	microarray
2020	3	expression profiling by array	microarray
2021	3	expression profiling by array	microarray
2022	0	expression profiling by array	microarray
2023	0	expression profiling by array	microarray
2000	0	expression profiling by genome tiling array	microarray
2001	0	expression profiling by genome tiling array	microarray
2002	0	expression profiling by genome tiling array	microarray
2003	0	expression profiling by genome tiling array	microarray
2004	0	expression profiling by genome tiling array	microarray
2005	0	expression profiling by genome tiling array	microarray
2006	0	expression profiling by genome tiling array	microarray
2007	0	expression profiling by genome tiling array	microarray
2008	0	expression profiling by genome tiling array	microarray
2009	0	expression profiling by genome tiling array	microarray
2010	0	expression profiling by genome tiling array	microarray
2011	1	expression profiling by genome tiling array	microarray
2012	0	expression profiling by genome tiling array	microarray
2013	0	expression profiling by genome tiling array	microarray
2014	0	expression profiling by genome tiling array	microarray
2015	0	expression profiling by genome tiling array	microarray
2016	0	expression profiling by genome tiling array	microarray
2017	0	expression profiling by genome tiling array	microarray
2018	0	expression profiling by genome tiling array	microarray
2019	0	expression profiling by genome tiling array	microarray
2020	0	expression profiling by genome tiling array	microarray
2021	0	expression profiling by genome tiling array	microarray
2022	0	expression profiling by genome tiling array	microarray
2023	0	expression profiling by genome tiling array	microarray
2000	0	expression profiling by snp array	microarray
2001	0	expression profiling by snp array	microarray
2002	0	expression profiling by snp array	microarray
2003	0	expression profiling by snp array	microarray
2004	0	expression profiling by snp array	microarray
2005	0	expression profiling by snp array	microarray
2006	0	expression profiling by snp array	microarray
2007	0	expression profiling by snp array	microarray
2008	0	expression profiling by snp array	microarray
2009	0	expression profiling by snp array	microarray
2010	0	expression profiling by snp array	microarray
2011	0	expression profiling by snp array	microarray
2012	0	expression profiling by snp array	microarray
2013	0	expression profiling by snp array	microarray
2014	0	expression profiling by snp array	microarray
2015	0	expression profiling by snp array	microarray
2016	0	expression profiling by snp array	microarray
2017	0	expression profiling by snp array	microarray
2018	0	expression profiling by snp array	microarray
2019	0	expression profiling by snp array	microarray
2020	0	expression profiling by snp array	microarray
2021	0	expression profiling by snp array	microarray
2022	0	expression profiling by snp array	microarray
2023	0	expression profiling by snp array	microarray
2000	0	genome binding/occupancy profiling by array	microarray
2001	0	genome binding/occupancy profiling by array	microarray
2002	0	genome binding/occupancy profiling by array	microarray
2003	0	genome binding/occupancy profiling by array	microarray
2004	0	genome binding/occupancy profiling by array	microarray
2005	0	genome binding/occupancy profiling by array	microarray
2006	0	genome binding/occupancy profiling by array	microarray
2007	0	genome binding/occupancy profiling by array	microarray
2008	0	genome binding/occupancy profiling by array	microarray
2009	0	genome binding/occupancy profiling by array	microarray
2010	0	genome binding/occupancy profiling by array	microarray
2011	0	genome binding/occupancy profiling by array	microarray
2012	0	genome binding/occupancy profiling by array	microarray
2013	0	genome binding/occupancy profiling by array	microarray
2014	0	genome binding/occupancy profiling by array	microarray
2015	0	genome binding/occupancy profiling by array	microarray
2016	0	genome binding/occupancy profiling by array	microarray
2017	0	genome binding/occupancy profiling by array	microarray
2018	0	genome binding/occupancy profiling by array	microarray
